"Long","Lat","SiteNum","Name","State","First","Last","PercComp","Elev","Dist","Years","loc","scale","shape","distToGdr","inlandGdr"
151.45,-27.76,"041314","BROOKSTEAD POST OFFICE","QLD",1958,2016,0.97,388,168.18,57.23,53.1129553044383,15.2830962563343,0.062034117439053,50.8062146220046,TRUE
151.57,-28.11,"041315","BRIGALOW PARK","QLD",1959,2016,1,457,172.87,58,46.0748098461466,13.3409456614639,0.237767818290941,57.5997525232194,TRUE
151.42,-27.07,"041317","BUNDALEER","QLD",1958,2013,0.97,395,163.24,54.32,52.9462037935903,17.1629747846191,0.0519336447517977,26.8536925992052,TRUE
151.34,-27.97,"041318","CARRAMAR","QLD",1959,2016,0.98,440,186.23,56.84,49.423766970265,14.7930939134463,-0.0842882712316926,68.0133402871235,TRUE
152.29,-28.02,"041323","MANDALA","QLD",1959,2016,0.8,586,110,46.4,59.9142047714297,19.0786546757726,0.416604497692688,6.84869749908157,TRUE
151.77,-27.77,"041327","BAIRNSDALE","QLD",1959,2013,1,478,138.67,55,50.5688881052856,16.5163797291715,0.197692206973254,20.9036647939921,TRUE
151.56,-28.21,"041344","KARARA","QLD",1968,2016,0.96,480,179.56,47.04,49.4357023557841,14.7546225193222,0.106533217566778,65.675238281279,TRUE
150.58,-27.73,"041349","MUNDAGAI","QLD",1969,2016,0.98,297,250.98,47.04,47.3996295767186,14.5518332982655,0.2511973186137,134.431871610081,TRUE
151.74,-27.4,"041359","OAKEY AERO","QLD",1970,2016,0.97,406,132.1,45.59,52.669499040175,16.6334396922353,0.136873739177246,21.5325776635971,TRUE
150.54,-28.12,"041370","YAGABURNE","QLD",1920,2016,0.5,260,265.67,48.5,51.255376577493,15.5709971213634,-0.135925457874288,147.798722271302,TRUE
151.68,-28.46,"041371","MELVA","QLD",1920,2016,0.99,699,179.97,96.03,51.7186258318734,15.1691267767988,0.149847229502204,66.543842141813,TRUE
151.42,-28.24,"041375","COLUMBA","QLD",1938,2012,0.76,400,192.94,57,50.6409349746341,15.8978399213953,0.149309467787716,78.2026370990517,TRUE
151.54,-28.34,"041377","TUMMURRAMI","QLD",1936,2016,0.75,489,189.44,60.75,46.8433206463006,16.5937643121936,0.231074808295595,76.7064226002674,TRUE
152.42,-28.13,"041380","SWANFELS UPPER","QLD",1919,1964,0.98,741,100.55,45.08,58.6295868394892,19.8113980837208,0.285753529534896,2.33525680638762,FALSE
151.33,-28.06,"041388","MURRALAH","QLD",1952,2016,0.98,500,191.17,63.7,50.726755550292,14.5176563336844,0.258904388503275,73.2572758268143,TRUE
151.39,-28.34,"041390","DUNBLAINE","QLD",1936,2003,0.69,369,201.45,46.92,46.3825333891825,9.98664516430063,0.446023498780305,87.7414375631776,TRUE
151.15,-28.36,"041391","WOODSPRING","QLD",1954,2016,0.96,300,222.49,60.48,51.9493732724965,18.0663272452739,0.151534315223605,106.946514392336,TRUE
150.45,-28.17,"041395","GLENARADALE","QLD",1958,2006,0.95,210,275.85,46.55,51.7867221885742,17.6703653429516,-0.268017960213006,157.870269752046,TRUE
150.13,-28.14,"041397","BURILDA","QLD",1959,2016,0.99,200,304.67,57.42,50.9774043303895,17.9634621639841,0.143410621157212,187.323432144644,TRUE
151.67,-27.96,"041404","ELLANGOWAN","QLD",1887,2016,0.67,403,156.25,87.1,52.7021495943638,13.1895429008915,0.125185785112021,39.2344464457797,TRUE
151.52,-28.3,"041412","DUNGORM","QLD",1926,2009,0.86,500,188.42,72.24,49.911403492691,13.9955239519382,0.213238197657984,75.2022862095435,TRUE
151.73,-27.57,"041416","AUGHAMORE","QLD",1929,1991,1,506,136.24,63,53.4764320449203,19.2431303068593,0.0233944319693072,20.4125907820961,TRUE
151.92,-28.21,"041445","LESLIE DAM","QLD",1915,2016,0.55,478,150.41,56.1,50.7706840013266,17.0028482590607,0.196946150605477,42.5604105876767,TRUE
151.49,-27.2,"041466","CLYDESDALE","QLD",1956,2005,0.91,371,155.52,45.5,46.3303371160134,27.483216054858,-0.329369466802915,28.1668850650847,TRUE
151.81,-28.1,"041473","PRATTEN CONDAMINE RIVER","QLD",1923,2016,0.99,417,152.36,93.06,52.3164397526158,16.3906062255464,-0.150024648935326,39.1192399985948,TRUE
151.28,-28.48,"041495","TERRAINE TM","QLD",1952,2016,0.79,318,218.34,51.35,NA,NA,NA,105.747708323563,TRUE
152.05,-28.22,"041503","WARWICK (SCOTS COLLEGE) TM","QLD",1933,2016,0.69,446,138.14,57.96,NA,NA,NA,34.3831712256659,TRUE
151.41,-27.74,"041504","GLEN ROYAL","QLD",1943,2016,0.96,377,171.36,71.04,55.7285619474725,15.4366088169094,0.090557870912553,53.9115338347409,TRUE
150.46,-27.78,"041554","TALINGA","QLD",1959,2011,0.93,290,263.6,49.29,45.0055316146315,10.4121273521909,0.167662685721607,146.788007589767,TRUE
150.5,-26.43,"042000","BARAKULA FOREST STN","QLD",1940,2015,0.87,331,248.49,66.12,56.1357781646635,22.1479068705172,0.0395287574293159,97.0610991172673,TRUE
150.28,-27.21,"042002","BELAH PARK","QLD",1913,2016,0.99,292,275.29,102.96,51.3798023959858,17.9520442020858,0.138518922144706,130.37461125503,TRUE
150.35,-26.67,"042005","COLUMBOOLA","QLD",1914,1980,0.96,319,270.68,64.32,54.993196906037,18.7329814056919,0.199503646049911,111.779666046832,TRUE
150.15,-26.4,"042015","MADOWLA","QLD",1912,1993,0.96,369,276.52,78.72,56.7647298929853,17.6660964422601,0.085883312315738,131.983901735055,TRUE
